feature_index,parcel_id,current_address,dcad_situs_address,centroid_lat,centroid_lng,category,reason,status,action
66,204914,149 TURNBERRY LN,,32.990214,-96.995633,OK,,OK,NONE
67,218326,222 LAIRDS DR,,32.991095,-97.00037,OK,,OK,NONE
68,218334,846 DALMALLEY LN,,32.991578,-96.998261,OK,,OK,NONE
69,218350,153 KILBRIDGE CT,,32.992025,-96.998085,OK,,OK,NONE
70,204879,130 TURNBERRY LN,,32.991011,-96.994677,OK,,OK,NONE
71,204941,155 FALLKIRK DR,,32.990658,-96.996542,OK,,OK,NONE
72,204843,848 FALLKIRK CT,,32.993236,-96.993916,OK,,OK,NONE
73,204924,210 TURNBERRY LN,,32.989961,-96.996518,OK,,OK,NONE
74,204936,135 FALLKIRK DR,,32.991265,-96.995672,OK,,OK,NONE
75,204869,844 KILBRIDGE LN,,32.992842,-96.996508,OK,,OK,NONE
76,218327,218 LAIRDS DR,,32.991324,-97.000329,OK,,OK,NONE
77,218361,816 MULLRANY DR,,32.990303,-96.997368,OK,,OK,NONE
78,204855,850 APPLECROSS CT,,32.993211,-96.994961,OK,,OK,NONE
79,204873,115 FALLKIRK DR,,32.991969,-96.994353,OK,,OK,NONE
80,218345,132 KILBRIDGE CT,,32.992776,-96.998489,OK,,OK,NONE
81,204933,142 TURNBERRY LN,,32.990857,-96.995424,OK,,OK,NONE
82,204854,846 APPLECROSS CT,,32.993009,-96.994841,OK,,OK,NONE
83,218316,835 MULLRANY DR,,32.990198,-96.998439,OK,,OK,NONE
84,218304,154 LAIRDS DR,,32.99221,-96.99974,OK,,OK,NONE
85,204939,147 FALLKIRK DR,,32.990957,-96.996253,OK,,OK,NONE
86,218343,135 LAIRDS DR,,32.992613,-96.998926,OK,,OK,NONE
87,204938,143 FALLKIRK DR,,32.991082,-96.996075,OK,,OK,NONE
88,204940,151 FALLKIRK DR,,32.990814,-96.996412,OK,,OK,NONE
89,204878,134 TURNBERRY LN,,32.990959,-96.994871,OK,,OK,NONE
90,204948,160 FALLKIRK DR,,32.991093,-96.996814,OK,,OK,NONE
91,204892,117 TURNBERRY LN,,32.990353,-96.994205,OK,,OK,NONE
92,204867,836 KILBRIDGE LN,,32.992649,-96.996129,OK,,OK,NONE
93,204951,161 KILMICHAEL DR,,32.991181,-96.997397,OK,,OK,NONE
94,204903,732 KILBRIDGE LN,,32.989394,-96.994845,OK,,OK,NONE
95,204899,748 KILBRIDGE LN,,32.990015,-96.994537,OK,,OK,NONE
96,218340,866 DALMALLEY LN,,32.992035,-96.999302,OK,,OK,NONE
97,204930,154 TURNBERRY LN,,32.990624,-96.99588,OK,,OK,NONE
98,204956,141 KILMICHAEL DR,,32.99184,-96.996458,OK,,OK,NONE
99,204931,150 TURNBERRY LN,,32.990719,-96.99574,OK,,OK,NONE
100,204881,118 TURNBERRY LN,,32.991345,-96.994355,OK,,OK,NONE
101,218309,217 FALLKIRK DR,,32.989843,-96.997107,OK,,OK,NONE
102,218282,848 KILBRIDGE LN,,32.99293,-96.996726,OK,,OK,NONE
103,218296,922 KILBRIDGE LN,,32.993162,-96.999027,OK,,OK,NONE
104,204902,736 KILBRIDGE LN,,32.989537,-96.994693,OK,,OK,NONE
105,204857,851 APPLECROSS CT,,32.993071,-96.995511,OK,,OK,NONE
106,218332,838 DALMALLEY LN,,32.991422,-96.997816,OK,,OK,NONE
107,204875,812 KILBRIDGE LN,,32.991655,-96.995077,OK,,OK,NONE
108,204844,845 FALLKIRK CT,,32.99317,-96.994255,OK,,OK,NONE
109,204865,828 KILBRIDGE LN,,32.992415,-96.995781,OK,,OK,NONE
110,204957,137 KILMICHAEL DR,,32.991991,-96.996304,OK,,OK,NONE
111,204919,209 TURNBERRY LN,,32.989526,-96.996004,OK,,OK,NONE
112,218325,871 MULLRANY DR,,32.99088,-97.000276,OK,,OK,NONE
113,204913,145 TURNBERRY LN,,32.990332,-96.99551,OK,,OK,NONE
114,204891,113 TURNBERRY LN,,32.990316,-96.993923,OK,,OK,NONE
115,218331,202 LAIRDS DR,,32.992007,-96.999927,OK,,OK,NONE
116,204923,214 TURNBERRY LN,,32.989821,-96.996632,OK,,OK,NONE
117,218344,131 LAIRDS DR,,32.992765,-96.998843,OK,,OK,NONE
118,204876,808 KILBRIDGE LN,,32.991468,-96.994987,OK,,OK,NONE
119,204863,820 KILBRIDGE LN,,32.992111,-96.995444,OK,,OK,NONE
120,218341,143 LAIRDS DR,,32.992357,-96.999057,OK,,OK,NONE
121,204959,134 KILMICHAEL DR,,32.992424,-96.996585,OK,,OK,NONE
122,204859,843 APPLECROSS CT,,32.992678,-96.995433,OK,,OK,NONE
123,204905,739 KILBRIDGE LN,,32.989521,-96.995334,OK,,OK,NONE
124,204910,755 KILBRIDGE LN,,32.990124,-96.995192,OK,,OK,NONE
125,218377,857 DALMALLEY LN,,32.991486,-96.99912,OK,,OK,NONE
126,204965,158 KILMICHAEL DR,,32.991651,-96.997666,OK,,OK,NONE
127,218337,858 DALMALLEY LN,,32.991859,-96.998832,OK,,OK,NONE
